Cell_Line,CH,CH,CH,CH,CH,CH,43,43,43,43,43,43,Io,Io,Io,Io,Io,Io,LN,LN,LN,LN,LN,LN
Plate_Layout,A,A,A,B,B,B,A,A,A,B,B,B,A,A,A,B,B,B,B,B,B,A,A,A
Replicate,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
C11,0.06495334624468568,0.06683711798066125,0.06053287184920919,0.029481764333138857,0.02860330057821609,0.025291568899075894,0.005200173993243044,0.005775495365140975,0.005204780564393392,0.1483869366066403,0.14093875192229816,0.1555517372014138,0.1224520345171978,0.1408702678445067,0.13872294767131021,0.028005947121902904,0.029938701350357668,0.023048433565090565,0.05469736523797951,0.04861787724783104,0.05800683592824216,0.061043099252962224,0.09081157885938762,0.11920409258674276
C12,0.008948488144504633,0.008512311457333268,0.013200891752097637,0.9652262349357369,0.9675244784211953,0.9123232063922471,0.009994799826006756,0.012514731633570616,0.009171735880923746,0.8293344319501482,0.8298792612833348,0.8135681724123074,0.0343969027769099,0.03859919004343718,0.017750762737090867,0.9804976773794367,1.0593496076308986,0.9890224248681743,0.9749403694911286,0.9158975908622446,0.9578414189606058,0.020525800246003322,0.0175882238221118,0.019996049351619083
C13,0.08061553888998413,0.08793892274430011,0.07805709319531719,1.0341241280485771,1.0467601507792437,1.015894441797628,0.19046809197221776,0.16788551870077664,0.1631373408152054,0.9274177858771381,0.9331627065639445,1.004083483716789,0.08319816908519868,0.0840007874577694,0.08455735738357012,1.0320486940328946,1.0434468408723432,1.0449126131447881,1.0389896599137067,1.0034884156168622,1.0387973062210434,0.18794731067548015,0.18174279435118432,0.18837985380762412
C14,0.576808738824283,0.5544589401629304,0.5917273446238897,0.8985975989183923,0.9509633169470852,0.9785432928737033,0.7000219126828646,0.6996666290481172,0.7048717717754418,0.9690095622175336,0.8916237087339896,0.9954753647782235,0.24962012639927125,0.290469251044198,0.2919780481706527,0.9669102302767207,0.9053232880507872,1.0135494293373322,0.9921385417649053,1.0123252273783945,1.020397269217117,0.7650216585942738,0.7806101796024458,0.7363209948923104
C15,0.6974705069614199,0.6309200041763967,0.6541731443308048,1.0272475496943074,0.9935916879021359,1.0291249814643775,0.42073659319921897,0.4321196441969195,0.43671361923113305,0.9934980295805499,1.0903875458170618,1.0302346702855967,0.5235592249322222,0.5215457699244355,0.5558911518501859,0.9934996342984195,1.0369916766662421,0.9949502351711096,1.0539131461596194,0.9897145861784333,0.945352339286304,0.8395000730377087,0.8390666048270923,0.8392589420191215
C16,0.04590875890876117,0.0444539743253464,0.044284561494878166,0.10696058686924255,0.08080069245673398,0.07166186055984437,0.05003068865784272,0.05366600486702394,0.046445907081932594,0.01744405759560311,0.01706416323478289,0.013729252790626577,0.1310600667920636,0.10878136374137999,0.09228869074466775,0.15387346870840668,0.13834933488302167,0.1446231717791101,0.19311642689957073,0.1902634637186269,0.15022881545888656,0.1636442018294874,0.17086323566286069,0.1978699133534788
C17,0.26408796631399256,0.23673252980139198,0.23392911305636957,1.0240549017491594,1.0408657426617896,0.988697165065508,0.3659330823731545,0.325283405023698,0.34010621699390425,0.8323466497352465,0.7721946310851674,0.7700060920104715,0.1650406584842516,0.13473677621321115,0.18816604547884735,1.0327489231354179,1.022170461050903,0.9393940520037185,0.9725323887549745,0.9592810296922659,0.9692046020006934,0.35225178063759777,0.3753091295861392,0.3741503032105396
C18,1.0670739341093438,1.0218132182956736,0.9977348624241129,0.9516526646741124,0.9844155321063224,0.9977061633500086,1.102742137871112,1.0244843804142165,0.9955030007907657,0.8706195345341423,0.8402216513076564,0.8454557017802093,1.0388050377418434,1.0626234560807828,1.0354769371631882,0.2580242371795918,0.27786062135065975,0.27069189150943257,1.0221661325300948,0.9998493853750998,1.003181917753938,1.0780885122825634,1.0665532030659755,0.9823667555351883
C19,1.0441792735997244,1.0099574465917802,0.994417118393509,0.9763743560579979,0.9204071403518079,0.941422567938717,0.9023119515697003,0.8334435965010115,0.9397839659987329,0.8546247943947177,0.8169195041780574,0.7865230103423421,1.035286675343783,0.9984435310525684,0.939791063900871,0.9043217585661834,1.0148727442739662,0.9085469633183014,0.9690880219437118,0.9711920222212211,0.9993775629084246,0.9620495582743391,0.9683044867014869,0.9933103273373033
C20,0.01760197909199657,0.017398970670999256,0.020963361518156188,0.7578396684246381,0.774034467244525,0.8110880934407575,0.07578735758118867,0.06962101352315146,0.06380925782840731,0.7580066595260901,0.8527422079743066,0.7702824554046466,0.03507687754862238,0.03632678166856374,0.03388899330383453,0.5555015052015104,0.6244283760692098,0.6720973588475382,0.6510989038848253,0.6706212874104919,0.6729735371662641,0.26809760591509424,0.29883509974909084,0.32303042998981085
C21,0.7915228084226531,0.7845865494559224,0.7867446140742468,0.6272819225189308,0.6286575718708409,0.6096883693347089,0.6917975704176601,0.5988421870961315,0.6069082538229774,0.724547416873969,0.7753492941341898,0.7962149544180636,0.4881172745862283,0.673829941781348,0.7058136141482371,0.6429915392685525,0.7094733196799433,0.6495816686342298,0.6437866243548925,0.6261364754166405,0.637592413584284,0.27756032193113755,0.2952460007768187,0.27169820080026486
C22,0.0017254708365882882,0.00918754129016257,0.0033988808276516885,1.0595880041620653,1.098285824075248,0.980146637743355,0.039497338317651044,0.038943472558371356,0.04268807241307876,0.9484101724171783,0.9444503807810474,0.9622925321976228,0.000989484472137636,0.000985302373776953,0.000962932171742302,1.0413779332242472,0.9780284159704856,0.9614539969278071,0.988185446629103,0.973164829824814,0.9809249721850214,0.012467316455694674,0.014913607601678846,0.027714867066657368
D02,0.009886003626718152,0.011708171731396572,0.010374364067028193,0.012970820347842336,0.016458114883250153,0.014693514615386804,0.008501248804886638,0.0074296083578046955,0.007693105038766532,0.03466776441808817,0.03385187543205427,0.02311359239283151,0.009413967836314693,0.00776979500696132,0.008545667485816002,0.042079158058375456,0.036498496267869725,0.03438067544840966,0.15273049646588743,0.17406528034166133,0.1621576190391055,0.007504737789191132,0.007006937285821748,0.006562925566589972
D03,0.2683790962724894,0.25512476985252736,0.3003640900916702,0.9455315879241041,0.9304649169805345,0.9573247215904224,0.20539051998469382,0.22365739010888086,0.22513844435663188,1.0066168513821656,1.0337329186780098,0.9536195279404249,0.12461044737183305,0.1198534010071234,0.11670580562294716,0.8306025394066527,0.814762653884832,0.8592983781948622,0.9906565254520218,0.9587778304555388,1.0030981880991785,0.6551068817342866,0.677977518146255,0.6695479127580088
D04,0.3009993107138665,0.3013428134143826,0.29557394853107544,0.9801835153304851,1.048118362094884,1.02565123114057,0.22557853298403863,0.22627524400483326,0.22579115425695556,1.0295469617311719,0.9710008276014066,1.0026055403479397,0.1143296985078409,0.14403174144289843,0.13129712407430771,1.0400107171358592,1.1152323199075347,1.049698979195956,1.0185040773194942,0.9544764767151039,1.055941398403576,0.6937422897511881,0.701616405623905,0.6720519435569786
D05,0.038574121283523555,0.03889865362136889,0.03962770538854945,0.00712288543295727,0.00805771244099928,0.007887948019513051,0.01855273815870233,0.015053818244158065,0.013508348907993403,0.00040886625466174246,0.0009669451942144082,0.005327010340909024,0.12292812360382853,0.12322973203453201,0.12128199765273837,0.006333369757418579,0.00550865996069186,0.007137629853853637,0.05130505434829761,0.0634022707163097,0.04331406299994828,0.20383770737319745,0.4433635265601518,0.17336612593651224
D06,0.011867930233575063,0.010110550004803293,0.007882464184683023,0.013975131947025005,0.011376289228081413,0.018000139446085677,0.004369464370939713,0.002788044891702054,0.008543894838793652,0.014761481676925666,0.0014016593155501689,0.00034424658797669694,0.030053395239541335,0.034153524472355104,0.03732224423254433,0.04107322441994147,0.042113730492079435,0.049399445797978274,0.21516841949771445,0.22086947424784478,0.19478991587014804,0.0451248039017535,0.06408672180877477,0.06768524754581196
